heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,canonical_url
3060 Geforce Rtx,2900,GeForce RTX 3060 12 GB,NVIDIA,3060,,3060,https://www.finn.no/bap/forsale/ad.html?finnkode=372663343
Gaming PC,5400,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374249290
Sterk stasjonær-pc perfekt for all gaming,7000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374229542
ASUS GeForce RTX 2080 SUPER ROG STRIX OC - 8GB,3000,GeForce RTX 2080 SUPER 8 GB,NVIDIA,rtx 2080 super,8,rtx 2080 super,https://www.finn.no/recommerce/forsale/item/374896144
XFX Radeon RX590 8GB,1500,Radeon RX 590 8 GB,AMD,rx 590,8,rx 590,https://www.finn.no/bap/forsale/ad.html?finnkode=295746765
"Mining rig, komplett. Ramme, HK, CPU, RAM, HDD, GPU'er, ny PSU",2700,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=341635118
Acer Nitro N50-640 (LES BESKRIVELSE),1000,Unknown,,640,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372925719
Raedon 6900XT,6700,Radeon RX 6900 XT 16 GB,AMD,6900 xt,,6900 xt,https://www.finn.no/bap/forsale/ad.html?finnkode=359441264
ZotacGaming Geforce RTX 3060 Twin Edge 12gb,2750,GeForce RTX 3060 12 GB,NVIDIA,rtx 3060,12,rtx 3060,https://www.finn.no/bap/forsale/ad.html?finnkode=360210206
Gaming Pc / Nvidia RTX 2060,4000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375182819
Acer Nitro N50-600 Gaming,2500,Unknown,,600,,,https://www.finn.no/recommerce/forsale/item/375123025
Gaming pc,3500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375740995
Asus B250 Mining Expert 19 GPU hovedkort m/prosessor,6500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=245319298
HP ProDesk 600 G1 SFF med Windows pro versjon,1299,Unknown,,600,,,https://www.finn.no/recommerce/forsale/item/197103206
"Intel i7-7700, ASUS ROG Strix B250F Gaming, Ballistix 16GB RAM",2500,Unknown,,7700,16,,https://www.finn.no/bap/forsale/ad.html?finnkode=370497980
ZOTAC GAMING GeForce RTX 3080 Trinity,6500,GeForce RTX 3080 10 GB,NVIDIA,rtx 3080,,rtx 3080,https://www.finn.no/bap/forsale/ad.html?finnkode=343127039
Stasjonær gaming pc selges rimelig,2500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/323460861
HP Pavilion Gaming PC,4000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375276076
Amd Radeon RX 6800 16GB,5000,Radeon RX 6800 16 GB,AMD,rx 6800,16,rx 6800,https://www.finn.no/recommerce/forsale/item/375099773
Gaming Intel i5 RTX 260 6 GB,3500,Unknown,NVIDIA,rtx 260,6,,https://www.finn.no/bap/forsale/ad.html?finnkode=371413666
AiO Vannkjølt 8-kjerne Gaming PC,7900,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=373503838
Gaming pc,5600,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/376172194
Stasjonær Gaming Pc,4500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374837600
