heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,match_count,seller,canonical_url
Hp Z600 workstation,2000,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/325177640
MSI Radeon 6600,2250,Radeon RX 6600 8 GB,AMD,6600,,6600,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=370405331
Geforce RTX 3060 12G,3500,GeForce RTX 3060 12 GB,NVIDIA,rtx 3060,,rtx 3060,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=369463637
DELL Precision T7400 workstation,1500,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/325180947
MSI RTX 3080 Suprim X,6000,GeForce RTX 3080 10 GB,NVIDIA,rtx 3080,,rtx 3080,1,,https://www.finn.no/recommerce/forsale/item/376637272
Asus ROG Strix RTX2080TI OC 11 Gaming,6500,GeForce RTX 2080 Ti 11 GB,NVIDIA,rtx 2080 ti,,rtx 2080 ti,1,,https://www.finn.no/recommerce/forsale/item/273919170
RX 6950 XT || som ny,6000,Radeon RX 6950 XT 16 GB,AMD,rx 6950 xt,,rx 6950 xt,1,,https://www.finn.no/recommerce/forsale/item/376118576
ASUS TUF GeForce RTX 4060 TI,5000,GeForce RTX 4060 Ti 8 GB,NVIDIA,rtx 4060 ti,,rtx 4060 ti,1,,https://www.finn.no/recommerce/forsale/item/376550251
Mac fra 2011,1000,Unknown,,2011,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=369963339
GeForce RTX™ 3060 Ti GAMING OC PRO 8G (rev. 2.0),3500,GeForce RTX 3060 Ti 8 GB,NVIDIA,3060 ti,,3060 ti,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=371725136
Nvidia Graffikkort RTX 2060S 8GB!,2200,GeForce RTX 2060 SUPER 8 GB,NVIDIA,rtx 2060 super,8,rtx 2060 super,1,,https://www.finn.no/recommerce/forsale/item/333070541
RTX geforce 3070 gpu! Salg!!,4000,GeForce RTX 3070 8 GB,NVIDIA,3070,,3070,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=373201615
2 stk RTX 2070 Super og 1 stk RTX 2080,1900,Multi,NVIDIA,"['rtx 2070 super', 'rtx 2080']",,"['rtx 2070 super', 'rtx 2080']",2,,https://www.finn.no/recommerce/forsale/item/376184828
RTX 2070 super! Salg!,2500,GeForce RTX 2070 SUPER 8 GB,NVIDIA,rtx 2070 super,,rtx 2070 super,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=373202303
ASUS Radeon RX 6650 XT Dual OC,2800,Radeon RX 6650 XT 8 GB,AMD,rx 6650 xt,,rx 6650 xt,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=367667852
3060 Geforce Rtx,2900,GeForce RTX 3060 12 GB,NVIDIA,3060,,3060,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=372663343
Goldshell KD6 Kadena Miner | Krypto | Mining | ASIC,5000,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/376534866
Innosilicon A11 Pro ETH (1500Mh),5500,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/376512857
"Apple iMac 21.5"" -  Late 2015 ( Mac OS Monterey )",2500,Unknown,,2015,,,0,,https://www.finn.no/recommerce/forsale/item/376217340
XFX Radeon RX590 8GB,1500,Radeon RX 590 8 GB,AMD,rx 590,8,rx 590,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=295746765
"Mining rig, komplett. Ramme, HK, CPU, RAM, HDD, GPU'er, ny PSU",2700,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=341635118
Raedon 6900XT,6700,Radeon RX 6900 XT 16 GB,AMD,6900 xt,,6900 xt,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=359441264
Acer Nitro N50-640 (LES BESKRIVELSE),1000,Unknown,,640,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=372925719
ZotacGaming Geforce RTX 3060 Twin Edge 12gb,2750,GeForce RTX 3060 12 GB,NVIDIA,rtx 3060,12,rtx 3060,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=360210206
